symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2016-01-11 00:00:00+00:00,91.6000273916,92.0927505675,90.4937244118,92.0090805942,49739377,98.53,0.0,99.06,97.34,98.97,1.0,49739377
AAPL,2016-01-12 00:00:00+00:00,92.9294503,93.6081067498,91.8881309995,93.4779534581,49154227,99.96,0.0,100.69,98.8399,100.55,1.0,49154227
AAPL,2016-01-13 00:00:00+00:00,90.5402077303,94.0729399346,90.4565377571,93.2641301931,62439631,97.39,0.0,101.19,97.3,100.32,1.0,62439631
AAPL,2016-01-14 00:00:00+00:00,92.5203970974,93.4128768122,89.0062582206,91.070117561,63170127,99.52,0.0,100.48,95.74,97.96,1.0,63170127
AAPL,2016-01-15 00:00:00+00:00,90.2984944742,90.8377009686,88.6529850001,89.4339047505,79833891,97.13,0.0,97.71,95.36,96.2,1.0,79833891
AAPL,2016-01-19 00:00:00+00:00,89.8615512805,91.7115873559,88.7831382919,91.4884674272,53087747,96.66,0.0,98.65,95.5,98.41,1.0,53087747
AAPL,2016-01-20 00:00:00+00:00,89.9824079086,91.283661926,86.8494322432,88.411271744,72334416,96.79,0.0,98.1897,93.42,95.1,1.0,72334416
AAPL,2016-01-21 00:00:00+00:00,89.5268713875,90.9957442514,88.2625251249,90.2334178284,52161463,96.3,0.0,97.88,94.94,97.06,1.0,52161463
AAPL,2016-01-22 00:00:00+00:00,94.2867631996,94.3239498544,91.4512807725,91.6929940286,65800467,101.42,0.0,101.46,98.37,98.63,1.0,65800467
AAPL,2016-01-25 00:00:00+00:00,92.4460237879,94.3890265002,92.2322005229,94.3797298365,51794525,99.44,0.0,101.53,99.21,101.52,1.0,51794525
AAPL,2016-01-26 00:00:00+00:00,92.9573402911,93.78474336,91.1723808616,92.901560309,75077002,99.99,0.0,100.88,98.07,99.93,1.0,75077002
AAPL,2016-01-27 00:00:00+00:00,86.8494322432,89.8326386564,86.7750589336,89.2851581314,133369674,93.42,0.0,96.6289,93.34,96.04,1.0,133369674
AAPL,2016-01-28 00:00:00+00:00,87.4723087108,87.8720652497,85.8918758826,87.1934087999,55678825,94.09,0.0,94.52,92.39,93.79,1.0,55678825
AAPL,2016-01-29 00:00:00+00:00,90.4937244118,90.4937244118,87.7140219669,88.1230751695,64416504,97.34,0.0,97.34,94.35,94.79,1.0,64416504
AAPL,2016-02-01 00:00:00+00:00,89.6477280155,89.908034599,88.6901716549,89.6849146703,40943541,96.43,0.0,96.71,95.4,96.47,1.0,40943541
AAPL,2016-02-02 00:00:00+00:00,87.8348785949,89.2851581314,87.648945321,88.7087649823,37357215,94.48,0.0,96.04,94.28,95.42,1.0,37357215
AAPL,2016-02-03 00:00:00+00:00,89.573354706,90.0288912271,87.4630120471,88.3183051071,45964294,96.35,0.0,96.84,94.08,95.0,1.0,45964294
AAPL,2016-02-04 00:00:00+00:00,90.2891978105,90.9715074834,88.971312004,89.5975414298,46471652,96.6,0.52,97.33,95.19,95.86,1.0,46471652
AAPL,2016-02-05 00:00:00+00:00,87.8777471858,90.5882924617,87.5693058268,90.2144241477,46418064,94.02,0.0,96.92,93.69,96.52,1.0,46418064
AAPL,2016-02-08 00:00:00+00:00,88.8030712627,89.4479941042,86.9617698167,87.0458901873,54021375,95.01,0.0,95.7,93.04,93.13,1.0,54021375
AAPL,2016-02-09 00:00:00+00:00,88.784377847,89.6723150926,87.7936268151,88.1301082977,44331195,94.99,0.0,95.94,93.93,94.29,1.0,44331195
AAPL,2016-02-10 00:00:00+00:00,88.111414882,90.0555301143,87.9525208486,89.6536216769,42343601,94.27,0.0,96.35,94.1,95.92,1.0,42343601
AAPL,2016-02-11 00:00:00+00:00,87.5786525346,88.5320167351,86.5411679635,87.6627729053,50074711,93.7,0.0,94.72,92.59,93.79,1.0,50074711
AAPL,2016-02-12 00:00:00+00:00,87.8497070622,88.3263891625,86.9337296931,88.0366412192,40351381,93.99,0.0,94.5,93.01,94.19,1.0,40351381
AAPL,2016-02-16 00:00:00+00:00,90.3265846419,90.5228655067,88.4292029488,88.8124179706,49057916,96.64,0.0,96.85,94.61,95.02,1.0,49057916
AAPL,2016-02-17 00:00:00+00:00,91.7098974034,91.794017774,89.8685959574,90.3546247655,44863243,98.12,0.0,98.21,96.15,96.67,1.0,44863243
AAPL,2016-02-18 00:00:00+00:00,89.9714097437,92.4295939077,89.8134503811,92.3828603685,39020983,96.26,0.0,98.89,96.091,98.84,1.0,39020983
AAPL,2016-02-19 00:00:00+00:00,89.7657821711,90.438651669,89.5414611827,89.7283953397,35374173,96.04,0.0,96.7599,95.8,96.0,1.0,35374173
